"id","title","mini_description","category_id","description","image","price","slug","manufacturer","power","temperature","protection","warranty","created_at","updated_at"
"1","TOP Светильники TOP с зеркальной параболической решеткой","Накладной светильник для учебных и офисных помещений с параболической отражающей решеткой из алюминия Alanod, обеспечивающей оптимальное светораспределение и высокий КПД. Возможно соединение в линию.","2","Особенности  Установка Крепление на поверхность потолка или на тросовых подвесах. Возможен монтаж светильников в линию с помощью соединителя TOP. Для установки светильника необходимо заказать Комплект крепления Х4 - 2995000040.   Конструкция Цельнометаллический корпус из листовой стали, покрытый белой порошковой краской , с торцевыми крышками из полимерного материала. В корпусе установлена  пускорегулирующая аппаратура.   Оптическая часть Экранирующая параболическая  решетка изготовлена из анодированного зеркального или матового алюминия. Устанавливается в корпус скрытыми пружинами.   Тип источника света ЛЛ   Комплектация Для установки светильника на опорную поверхность необходимо заказать Комплект крепления Х4 (код заказа – 2995000040)","https://www.ltcompany.com/media/cache/77/31/773101268a72a1210d56e4574fdbcb3d.png",NULL,"top-svetilniki-top-s-zerkalnoi-parabolicheskoi-reshetkoi","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"2","STANDARD LED G2 Светодиодные светильники STANDARD G2 с рассеивателем","Бюджетный светодиодный светильник для освещения офисных и административных помещений, коридоров. STANDARD LED G2 служат прямой заменой ламповых светильников типа ЛВО 4x18.","2","Особенности  Установка Встраиваются в подвесные потолки типа Армстронг с шириной полки несущего Т-образного профиля 15 и 24 мм, а также возможен накладной монтаж на поверхность.   Конструкция Цельнометаллический корпус из листовой стали, окрашенный белой порошковой краской.   Оптическая часть Призматический (PRS) или опаловый (OPL) рассеиватель из SAN-пластика. Тип светодиодов: SMD.   Тип источника света LED   Комплектация Светильник в сборе.   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/7b/7d/7b7df5907427ec81d44b2908eb2d2c84.png",NULL,"standard-led-g2-svetodiodnye-svetilniki-standard-g2-s-rasseivatelem","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"3","LTX,LTX LINE Светильники LTX с призматическим рассеивателем","Доступный накладной светильник с призматическим рассеивателем обеспечивает мягкое рассеивание света и равномерное его распределение в помещении. Возможно соединение светильников в линию (версии LS, LC, LF).","2","Особенности  Установка Крепление на поверхность потолка или на тросовых подвесах (max 2 метра). Код заказа подвесов – 2901000240 (2 комплекта подвесов на один светильник). Для установки светильника на поверхность потолка необходимо заказать -Комплект крепления X3 (код заказа – 2995000030). Светильник может комплектоваться защитной решеткой. Код заказа – 1451000010.   Конструкция Цельнометаллический  корпус из листовой стали, покрытый белой порошковой краской, с торцевыми крышками из полимерного материала. В корпусе установлена пускорегулирующая аппаратура.   Оптическая часть Призматический рассеиватель из прозрачного полимерного материала, изготовлен методом экструзии.   Тип источника света ЛЛ   Комплектация Для подвеса светильников требуется дополнительно заказать тросовый подвес (max 2 метра). Код заказа подвесов – 2901000240 (2 комплекта подвесов на один светильник). Для установки светильника на поверхность потолка необходимо заказать -Комплект крепления X3 (код заказа – 2995000030). Светильник может комплектоваться защитной решеткой. Код заказа – 1451000010.","https://www.ltcompany.com/media/cache/60/d8/60d83ae38a7e9375e5958016abaf101d.png",NULL,"ltx-ltx-line-svetilniki-ltx-s-prizmaticheskim-rasseivatelem","Световые технологии",NULL,NULL,"IP40","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"4","ARS/S Светильники ARS с зеркальной экранизирующей решеткой","Накладной светильник для учебных и офисных помещений. V-образная отражающая решетка из алюминия марки Alanod обеспечивает высокий КПД светильника.","2","Особенности  Установка Крепление на поверхность потолка. Для установки светильника необходимо заказать Комплект крепления X4 (код заказа – 2995000040).   Конструкция Цельнометаллический сварной корпус из листовой стали, покрытый белой порошковой краской. В корпусе установлена пускорегулирующая аппаратура.   Оптическая часть Экранирующая  решетка изготовлена из зеркального алюминия. Устанавливается в корпус скрытыми пружинами. Светильник может комплектоваться решеткой  из матового алюминия.   Тип источника света ЛЛ   Комплектация Для установки светильника на опорную поверхность необходимо заказать Комплект крепления Х4 (код заказа – 2995000040)","https://www.ltcompany.com/media/cache/26/8a/268a179b80392d408fcd10ccb4c9d765.png",NULL,"ars-s-svetilniki-ars-s-zerkalnoi-ekraniziruiushchei-reshetkoi","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"5","AOT.OPL ECO LED Светодиодные светильники AOT с опаловым рассеивателем серии ECO","Светильник для освещения учебных заведений, офисных помещений, торговых залов, где установка светильников осуществляется непосредственно на поврехность потолка. Опаловый рассеиватель создает равномерное свечение, исключающее слепящий эффект.","2","Особенности  Установка Крепление на поверхность потолка. Установочные элементы для крепления заказывются отдельно. Комплект крепления X4 - 2995000040.   Конструкция Цельнометаллический корпус из листовой стали, покрытый белой порошковой краской.   Оптическая часть Светодиодный модуль ECO LED обеспечивает равномерную бестеневую засветку рассеивателя светильника. Опаловый рассеиватель из ПММА изготовлен методом выдува. Крепиться к корпусу поворотными задвижками. Тип светодиодов: SMD.   Тип источника света LED   Комплектация Установочные элементы для крепления заказываются отдельно. Комплект крепления X4 - 2995000040.   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/9a/f0/9af0083a73cdafb6d5b11246b9320153.png",NULL,"aot-opl-eco-led-svetodiodnye-svetilniki-aot-s-opalovym-rasseivatelem-serii-eco","Световые технологии",NULL,NULL,"IP40","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"6","STANDARD LED G3 Светодиодные светильники STANDARD G3 с рассеивателем","Бюджетный светодиодный светильник для освещения офисных и административных помещений, коридоров. STANDARD LED G3 служат прямой заменой ламповых светильников типа ЛВО 4x18.","2","Особенности  Установка Встраиваются в подвесные потолки типа Армстронг с шириной полки несущего Т-образного профиля 24 мм, а также возможен накладной монтаж на поверхность.   Конструкция Цельнометаллический корпус из листовой стали, окрашенный белой порошковой краской.   Оптическая часть Призматический (PRS) или опаловый (OPL) рассеиватель из светостабилизированного пластика. Тип светодиодов: SMD.   Тип источника света LED   Комплектация Светильник в сборе.   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/24/13/24130cbf74d52c26da13a51eaa64b0b4.png",NULL,"standard-led-g3-svetodiodnye-svetilniki-standard-g3-s-rasseivatelem","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"7","ARS/R Светильники ARS с зеркальной экранизирующей решеткой","Встраиваемый светильник для учебных и офисных помещений. V-образная отражающая решетка из алюминия марки Alanod обеспечивает высокий КПД светильника.","2","Особенности  Установка Встраиваются в подвесные потолки типа Армстронг с шириной полки несущего Т-образного профиля 15 и 24 мм или в подшивные потолки из гипсокартона с помощью клипс. Код заказа клипс — 2905000110 (6 штук — для модификации 4х36,4 штуки -  для остальных).   Конструкция Цельнометаллический сварной корпус из листовой стали, покрытый белой порошковой краской. В корпусе установлена пускорегулирующая аппаратура.   Оптическая часть Экранирующая  решетка изготовлена из зеркального алюминия. Устанавливается в корпус скрытыми пружинами.   Тип источника света ЛЛ   Комплектация Светильник в сборе.","https://www.ltcompany.com/media/cache/9a/4d/9a4d56cab90b296c68bab5de1f5bf759.png",NULL,"ars-r-svetilniki-ars-s-zerkalnoi-ekraniziruiushchei-reshetkoi","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"8","RKL XL LED Накладной светодиодный светильник из ПММА","Накладной светодиодный светильник, создающий диффузное освещение. Опаловый рассеиватель из ПММА, изготовленный методом выдува.","2","Особенности  Установка На стену/потолок   Конструкция Опаловый рассеиватель из ПММА, изготовленный методом выдува. Рассеиватель  крепится к металлической плате на специальных защелках. На плате установлена пускорегулирующая аппаратура.   Оптическая часть Опаловый рассеиватель из ПММА   Тип источника света LED   Комплектация Светильник в сборе.   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/06/d6/06d655bb7a6f8660f73bb2ac890efd56.png",NULL,"rkl-xl-led-nakladnoi-svetodiodnyi-svetilnik-iz-pmma","Световые технологии",NULL,NULL,"IP40","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"9","PTF UNI LED Светодиодные cветильники PTF","Универсальный светильник для офисных и учебных помещений с бипараболической отражающей решеткой из алюминия марки MIRO и рассеивателями из ПММА, обеспечивающими комфортный свет, отсуствие бликов на мониторах компьютеров.","2","Особенности  Установка Крепление светильника на поверхность потолка. Так же светильник можно встраивать в подвесные потолки типа ""Армстронг"" с шириной полки несущего Т-образного профиля 15 и 24 мм.   Конструкция Цельнометаллический сварной корпус, покрытый порошковой краской белого цвета. Внутри корпуса установлены линейные светодиодные модули и драйвер.   Оптическая часть Зеркальная бипараболическая решетка из анодированного алюминия марки MIRO (устанавливается в корпус скрытыми пружинами), а так же рассеиватели из ПММА, установленные непосредственно на кластеры. Устанавливается в корпус скрытыми пружинами. Тип светодиодов: SMD.   Тип источника света LED   Комплектация Для установки светильника на поверхность потолка необходимо заказать ""Комплект креплений Х4"" (код заказа 2995000040).   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/a8/7e/a87e3074f0da6eee65dc3d1787e4885e.png",NULL,"ptf-uni-led-svetodiodnye-cvetilniki-ptf","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
"10","LTX LED Светодиодные светильники LTX с призматическим рассеивателем","Доступный накладной светильник с призматическим рассеивателем обеспечивает мягкое рассеивание света и равномерное его распределение в помещении. Возможно соединение светильников в линию (версии CS, CE, CL).","2","Особенности  Установка Крепление на поверхность потолка или на тросовых подвесах (max 2 метра). Код заказа подвесов – 2901000240 (2 комплекта подвесов на один светильник). Для установки светильника на поверхность потолка необходимо заказать -Комплект крепления X3 (код заказа – 2995000030). Светильник может комплектоваться защитной решеткой. Код заказа – 1451000010.   Конструкция Цельнометаллический  корпус из листовой стали, покрытый белой порошковой краской, с торцевыми крышками из полимерного материала. В корпусе установлена пускорегулирующая аппаратура.   Оптическая часть Призматический рассеиватель из прозрачного полимерного материала, изготовлен методом экструзии.   Тип источника света LED   Комплектация При установке в линию необходимо использовать светильники с обозначениями CS, CE, CL: CS – начальный элемент линии; CL – конечный элемент линии; CE – основной элемент линии. Максимальное количество светильников, объединяющихся в одну световую линию со сквозной проводкой – 60 шт. Для подвеса светильников требуется дополнительно заказать тросовый подвес (max 2 метра). Код заказа подвесов – 2901000240 (2 комплекта подвесов на один светильник). Для установки светильника на поверхность потолка необходимо заказать -Комплект крепления X3 (код заказа – 2995000030). Светильник может комплектоваться защитной решеткой. Код заказа – 1451000010.   Дополнительная информация Нет значения","https://www.ltcompany.com/media/cache/60/d8/60d83ae38a7e9375e5958016abaf101d.png",NULL,"ltx-led-svetodiodnye-svetilniki-ltx-s-prizmaticheskim-rasseivatelem","Световые технологии",NULL,NULL,"IP20","36","2020-03-08 00:00:00","2020-03-10 07:06:22"
